x,y,z
-1.8138,0.59809,0.027035
-1.82,0.58115,0.027003
-1.8261,0.56411,0.026973
-1.832,0.54698,0.026943
-1.8378,0.52975,0.026913
-1.8433,0.51243,0.026885
-1.8487,0.49502,0.026857
-1.8539,0.47753,0.026829
-1.859,0.45994,0.026803
-1.8639,0.44227,0.026777
-1.8686,0.42452,0.026751
-1.8731,0.40668,0.026727
-1.8774,0.38876,0.026703
-1.8816,0.37077,0.026679
-1.8855,0.35269,0.026657
-1.8893,0.33454,0.026634
-1.8929,0.31632,0.026613
-1.8964,0.29802,0.026592
-1.8996,0.27965,0.026572
-1.9027,0.26122,0.026553
-1.9055,0.24271,0.026534
-1.9082,0.22414,0.026516
-1.9107,0.20551,0.026499
-1.9131,0.18681,0.026482
-1.9152,0.16806,0.026466
-1.9171,0.14924,0.02645
-1.9189,0.13037,0.026436
-1.9205,0.11144,0.026422
-1.9218,0.092457,0.026408
-1.923,0.073424,0.026395
-1.924,0.05434,0.026383
-1.9248,0.035209,0.026372
-1.9255,0.016031,0.026361
-1.9259,-0.0031919,0.026351
-1.9261,-0.022457,0.026341
-1.9262,-0.041763,0.026333
-1.926,-0.061108,0.026324
-1.9257,-0.08049,0.026317
-1.9251,-0.099908,0.02631
-1.9244,-0.11936,0.026304
-1.9234,-0.13884,0.026298
-1.9223,-0.15835,0.026294
-1.921,-0.17789,0.026289
-1.9195,-0.19746,0.026286
-1.9178,-0.21705,0.026283
-1.9159,-0.23666,0.026281
-1.9138,-0.25629,0.026279
-1.9115,-0.27594,0.026278
-1.909,-0.29561,0.026278
-1.9063,-0.31529,0.026279
-1.9034,-0.33498,0.02628
-1.9003,-0.35469,0.026282
-1.897,-0.3744,0.026284
-1.8935,-0.39412,0.026287
-1.8898,-0.41384,0.026291
-1.886,-0.43357,0.026296
-1.8819,-0.45329,0.026301
-1.8776,-0.47302,0.026307
-1.8732,-0.49274,0.026313
-1.8685,-0.51246,0.026321
-1.8636,-0.53217,0.026329
-1.8586,-0.55187,0.026337
-1.8533,-0.57156,0.026347
-1.8479,-0.59124,0.026356
-1.8422,-0.6109,0.026367
-1.8364,-0.63054,0.026378
-1.8303,-0.65017,0.02639
-1.8241,-0.66977,0.026403
-1.8177,-0.68935,0.026417
-1.811,-0.70891,0.026431
-1.8042,-0.72843,0.026445
-1.7972,-0.74793,0.026461
-1.79,-0.7674,0.026477
-1.7826,-0.78683,0.026494
-1.775,-0.80623,0.026512
-1.7672,-0.8256,0.02653
-1.7592,-0.84492,0.026549
-1.751,-0.8642,0.026568
-1.7426,-0.88344,0.026589
-1.734,-0.90263,0.02661
-1.7253,-0.92178,0.026632
-1.7163,-0.94087,0.026654
-1.7072,-0.95992,0.026678
-1.6979,-0.97891,0.026701
-1.6883,-0.99785,0.026726
-1.6786,-1.0167,0.026752
-1.6687,-1.0355,0.026778
-1.6586,-1.0543,0.026804
-1.6484,-1.073,0.026832
-1.6379,-1.0916,0.02686
-1.6273,-1.1102,0.026889
-1.6164,-1.1287,0.026919
-1.6054,-1.1471,0.02695
-1.5942,-1.1655,0.026981
-1.5828,-1.1837,0.027013
-1.5712,-1.2019,0.027045
-1.5595,-1.22,0.027079
-1.5476,-1.2381,0.027113
-1.5355,-1.256,0.027148
-1.5232,-1.2739,0.027184
-1.5107,-1.2917,0.02722
-1.4981,-1.3094,0.027257
-1.4852,-1.327,0.027295
-1.4722,-1.3445,0.027334
-1.4591,-1.3619,0.027374
-1.4457,-1.3792,0.027414
-1.4322,-1.3964,0.027455
-1.4185,-1.4135,0.027497
-1.4047,-1.4305,0.02754
-1.3906,-1.4474,0.027583
-1.3764,-1.4642,0.027627
-1.3621,-1.4809,0.027672
-1.3475,-1.4975,0.027718
-1.3328,-1.514,0.027765
-1.318,-1.5303,0.027812
-1.3029,-1.5466,0.02786
-1.2878,-1.5627,0.027909
-1.2724,-1.5787,0.027959
-1.2569,-1.5946,0.028009
-1.2412,-1.6104,0.028061
-1.2254,-1.626,0.028113
-1.2094,-1.6415,0.028166
-1.1933,-1.6569,0.02822
-1.177,-1.6721,0.028275
-1.1606,-1.6872,0.02833
-1.144,-1.7022,0.028387
-1.1273,-1.7171,0.028444
-1.1104,-1.7318,0.028502
-1.0933,-1.7463,0.028561
-1.0762,-1.7608,0.028621
-1.0588,-1.775,0.028681
-1.0414,-1.7892,0.028743
-1.0238,-1.8032,0.028805
-1.006,-1.817,0.028868
-0.98814,-1.8307,0.028932
-0.97012,-1.8442,0.028997
-0.95197,-1.8576,0.029063
-0.93368,-1.8709,0.02913
-0.91527,-1.884,0.029198
-0.89672,-1.8969,0.029266
-0.87804,-1.9096,0.029335
-0.85924,-1.9222,0.029406
-0.84031,-1.9347,0.029477
-0.82126,-1.9469,0.029549
-0.80209,-1.959,0.029622
-0.78279,-1.971,0.029696
-0.76338,-1.9828,0.029771
-0.74385,-1.9944,0.029847
-0.7242,-2.0058,0.029923
-0.70444,-2.017,0.030001
-0.68457,-2.0281,0.03008
-0.66459,-2.039,0.030159
-0.64451,-2.0497,0.03024
-0.62431,-2.0603,0.030321
-0.60401,-2.0707,0.030404
-0.58361,-2.0808,0.030487
-0.5631,-2.0908,0.030571
-0.5425,-2.1006,0.030657
-0.5218,-2.1103,0.030743
-0.50101,-2.1197,0.03083
-0.48012,-2.129,0.030918
-0.45914,-2.138,0.031007
-0.43807,-2.1469,0.031098
-0.41691,-2.1556,0.031189
-0.39567,-2.164,0.031281
-0.37434,-2.1723,0.031374
-0.35293,-2.1804,0.031469
-0.33144,-2.1883,0.031564
-0.30987,-2.196,0.03166
-0.28823,-2.2035,0.031757
-0.26651,-2.2108,0.031856
-0.24472,-2.2179,0.031955
-0.22286,-2.2247,0.032055
-0.20094,-2.2314,0.032157
-0.17894,-2.2379,0.032259
-0.15689,-2.2442,0.032363
-0.13477,-2.2502,0.032467
-0.11259,-2.2561,0.032573
-0.090357,-2.2617,0.032679
-0.068067,-2.2671,0.032787
-0.045723,-2.2723,0.032896
-0.023329,-2.2773,0.033006
-0.00088545,-2.2821,0.033117
0.021605,-2.2867,0.033229
0.044139,-2.2911,0.033342
0.066717,-2.2952,0.033456
0.089334,-2.2991,0.033572
0.11199,-2.3028,0.033688
0.13468,-2.3063,0.033806
0.15741,-2.3096,0.033924
0.18016,-2.3126,0.034044
0.20295,-2.3155,0.034165
0.22576,-2.3181,0.034287
0.2486,-2.3204,0.03441
0.27146,-2.3226,0.034534
0.29434,-2.3245,0.034659
0.31724,-2.3262,0.034786
0.34015,-2.3277,0.034913
0.36308,-2.329,0.035042
0.38602,-2.33,0.035172
0.40897,-2.3308,0.035303
0.43192,-2.3314,0.035435
0.45488,-2.3317,0.035568
0.47784,-2.3318,0.035703
0.5008,-2.3317,0.035838
0.52376,-2.3314,0.035975
0.54672,-2.3308,0.036113
0.56966,-2.33,0.036252
0.5926,-2.3289,0.036392
0.61553,-2.3277,0.036533
0.63844,-2.3262,0.036676
0.66133,-2.3244,0.036819
0.68421,-2.3225,0.036964
0.70706,-2.3203,0.03711
0.7299,-2.3178,0.037257
0.7527,-2.3152,0.037405
0.77548,-2.3123,0.037555
0.79823,-2.3092,0.037705
0.82094,-2.3058,0.037857
0.84362,-2.3022,0.03801
0.86626,-2.2984,0.038164
0.88886,-2.2943,0.038319
0.91142,-2.29,0.038476
0.93394,-2.2855,0.038633
0.95641,-2.2807,0.038792
0.97883,-2.2757,0.038952
1.0012,-2.2705,0.039113
1.0235,-2.265,0.039275
1.0458,-2.2593,0.039438
1.068,-2.2533,0.039603
1.0901,-2.2472,0.039768
1.1122,-2.2408,0.039935
1.1342,-2.2341,0.040103
1.1561,-2.2272,0.040272
1.178,-2.2201,0.040442
1.1998,-2.2128,0.040613
1.2215,-2.2052,0.040786
1.2432,-2.1974,0.040959
1.2647,-2.1894,0.041134
1.2862,-2.1811,0.041309
1.3076,-2.1726,0.041486
1.3289,-2.1639,0.041664
1.3501,-2.1549,0.041842
1.3713,-2.1457,0.042022
1.3923,-2.1363,0.042203
1.4132,-2.1267,0.042385
1.4341,-2.1168,0.042568
1.4548,-2.1067,0.042752
1.4755,-2.0963,0.042938
1.496,-2.0858,0.043124
1.5164,-2.075,0.043311
1.5367,-2.064,0.043499
1.5569,-2.0527,0.043688
1.577,-2.0413,0.043878
1.597,-2.0296,0.044069
1.6169,-2.0177,0.044261
1.6366,-2.0055,0.044453
1.6562,-1.9932,0.044647
1.6757,-1.9806,0.044842
1.6951,-1.9678,0.045037
1.7143,-1.9548,0.045233
1.7334,-1.9416,0.045431
1.7523,-1.9281,0.045628
1.7712,-1.9144,0.045827
1.7899,-1.9006,0.046027
1.8084,-1.8865,0.046227
1.8268,-1.8722,0.046428
1.8451,-1.8576,0.04663
1.8632,-1.8429,0.046832
1.8811,-1.828,0.047035
1.8989,-1.8128,0.047239
1.9166,-1.7974,0.047444
1.9341,-1.7819,0.047649
1.9514,-1.7661,0.047854
1.9686,-1.7501,0.04806
1.9856,-1.7339,0.048267
2.0025,-1.7175,0.048474
2.0192,-1.7009,0.048682
2.0357,-1.6841,0.04889
2.0521,-1.6672,0.049099
2.0682,-1.65,0.049307
2.0842,-1.6326,0.049517
2.1001,-1.615,0.049726
2.1157,-1.5972,0.049936
2.1312,-1.5793,0.050146
2.1465,-1.5611,0.050357
2.1616,-1.5428,0.050567
2.1765,-1.5243,0.050778
2.1913,-1.5055,0.050989
2.2058,-1.4866,0.0512
2.2202,-1.4675,0.051411
2.2343,-1.4483,0.051622
2.2483,-1.4288,0.051833
2.2621,-1.4092,0.052044
2.2756,-1.3894,0.052254
2.289,-1.3694,0.052465
2.3022,-1.3493,0.052675
2.3151,-1.329,0.052886
2.3279,-1.3085,0.053095
2.3405,-1.2878,0.053305
2.3528,-1.267,0.053514
2.3649,-1.246,0.053723
2.3769,-1.2248,0.053931
2.3886,-1.2035,0.054139
2.4001,-1.182,0.054346
2.4113,-1.1604,0.054553
2.4224,-1.1386,0.054759
2.4332,-1.1166,0.054964
2.4438,-1.0945,0.055169
2.4542,-1.0723,0.055372
2.4644,-1.0499,0.055575
2.4744,-1.0274,0.055777
2.4841,-1.0047,0.055978
2.4936,-0.98184,0.056177
2.5028,-0.95887,0.056376
2.5118,-0.93575,0.056574
2.5206,-0.91251,0.05677
2.5292,-0.88913,0.056965
2.5375,-0.86561,0.057159
2.5456,-0.84197,0.057351
2.5534,-0.8182,0.057542
2.561,-0.7943,0.057731
2.5684,-0.77028,0.057919
2.5755,-0.74613,0.058105
2.5824,-0.72187,0.05829
2.5891,-0.69749,0.058473
2.5954,-0.67299,0.058654
2.6016,-0.64839,0.058833
2.6075,-0.62367,0.05901
2.6131,-0.59884,0.059185
2.6185,-0.57391,0.059358
2.6237,-0.54887,0.059529
2.6286,-0.52373,0.059698
2.6332,-0.49849,0.059864
2.6376,-0.47316,0.060028
2.6417,-0.44773,0.06019
2.6456,-0.42221,0.060349
2.6492,-0.39659,0.060506
2.6526,-0.3709,0.06066
